date,close,Volume,Open,High,Low
04/25/2024,$225.36 ,319153,$223.00 ,$225.49 ,$222.39 
04/24/2024,$232.88 ,273446,$232.85 ,$233.99 ,$231.83 
04/23/2024,$230.41 ,361978,$228.10 ,$230.64 ,$227.82 
04/22/2024,$230.30 ,448187,$228.18 ,$231.15 ,$227.88 
04/19/2024,$228.72 ,425857,$229.50 ,$229.79 ,$227.38 
04/18/2024,$231.84 ,220216,$233.73 ,$234.11 ,$231.70 
04/17/2024,$233.97 ,306805,$234.59 ,$235.29 ,$233.01 
04/16/2024,$236.52 ,306118,$236.29 ,$237.37 ,$234.64 
04/15/2024,$241.67 ,158402,$245.71 ,$246.07 ,$241.33 
04/12/24,$242.97 ,207683,$245.01 ,$245.27 ,$242.63 
04/11/24,$246.99 ,172561,$246.50 ,$247.15 ,$244.47 
04/10/24,$244.79 ,214693,$246.00 ,$246.12 ,$243.86 
04/09/24,$246.93 ,232598,$247.86 ,$248.47 ,$245.68 
04/08/24,$244.21 ,218942,$243.40 ,$245.84 ,$243.33 
04/05/24,$240.74 ,191129,$239.00 ,$241.83 ,$238.58 
04/04/24,$239.16 ,196284,$243.20 ,$243.67 ,$239.02 
04/03/24,$241.78 ,307482,$239.50 ,$242.45 ,$239.50 
04/02/24,$239.89 ,296550,$239.00 ,$240.24 ,$237.96 
04/01/24,$242.15 ,527985,$242.85 ,$242.86 ,$240.22 
03/28/2024,$251.68 ,124952,$251.14 ,$252.85 ,$251.14 
03/27/2024,$252.15 ,242749,$253.70 ,$254.20 ,$250.33 
03/26/2024,$253.72 ,214946,$253.89 ,$254.79 ,$253.39 
03/25/2024,$252.41 ,196883,$252.11 ,$253.42 ,$251.04 
03/22/2024,$254.77 ,285516,$255.00 ,$255.23 ,$253.59 
03/21/2024,$251.48 ,245505,$251.45 ,$251.79 ,$250.26 
03/20/2024,$246.72 ,214883,$244.68 ,$246.80 ,$244.31 
03/19/2024,$244.32 ,347608,$242.68 ,$245.09 ,$242.41 
03/18/2024,$238.66 ,194198,$237.58 ,$238.83 ,$237.28 
03/15/2024,$234.62 ,179136,$234.91 ,$235.12 ,$233.54 
03/14/2024,$230.97 ,224891,$233.36 ,$233.36 ,$230.36 
03/13/2024,$232.83 ,298261,$233.41 ,$233.54 ,$231.37 
03/12/24,$237.95 ,243114,$236.81 ,$238.44 ,$235.45 
03/11/24,$235.46 ,380025,$237.41 ,$237.41 ,$235.17 
03/08/24,$242.82 ,379629,$245.00 ,$245.80 ,$242.58 
03/07/24,$247.94 ,359812,$246.93 ,$248.05 ,$245.70 
03/06/24,$252.40 ,331252,$252.15 ,$253.43 ,$250.93 
03/05/24,$248.19 ,314115,$247.71 ,$249.99 ,$246.81 
03/04/24,$243.84 ,281458,$244.19 ,$244.79 ,$243.24 
03/01/24,$246.04 ,338591,$244.66 ,$246.54 ,$244.56 
02/29/2024,$240.55 ,257110,$240.92 ,$241.66 ,$239.65 
02/28/2024,$237.29 ,168896,$237.93 ,$238.19 ,$237.00 
02/27/2024,$238.04 ,301015,$238.19 ,$238.84 ,$236.59 
02/26/2024,$238.13 ,332869,$237.59 ,$238.78 ,$236.54 
02/23/2024,$235.00 ,279172,$235.00 ,$235.76 ,$234.34 
02/22/2024,$234.45 ,461290,$234.17 ,$235.15 ,$233.01 
02/21/2024,$227.09 ,430588,$227.22 ,$227.66 ,$225.80 
02/20/2024,$226.77 ,298512,$227.78 ,$228.46 ,$225.58 
02/16/2024,$227.36 ,241975,$227.83 ,$228.54 ,$226.63 
02/15/2024,$228.54 ,239020,$226.14 ,$228.64 ,$226.14 
02/14/2024,$227.03 ,324767,$226.00 ,$227.16 ,$224.48 
02/13/2024,$231.00 ,733380,$227.59 ,$232.56 ,$227.30 
02/12/24,$225.86 ,246285,$223.82 ,$226.87 ,$223.56 
02/09/24,$224.46 ,239094,$223.82 ,$225.14 ,$223.75 
02/08/24,$226.31 ,322983,$225.32 ,$226.40 ,$223.83 
02/07/24,$223.05 ,492662,$222.34 ,$224.02 ,$220.86 
02/06/24,$218.86 ,1143150,$211.87 ,$221.77 ,$211.82 
02/05/24,$203.03 ,329664,$202.29 ,$203.18 ,$201.41 
02/02/24,$202.54 ,241242,$200.90 ,$202.64 ,$200.54 
02/01/24,$202.18 ,168690,$200.63 ,$202.35 ,$199.81 
01/31/2024,$199.70 ,297990,$202.28 ,$202.35 ,$199.29 
01/30/2024,$201.85 ,144323,$202.01 ,$202.41 ,$201.51 
01/29/2024,$201.66 ,281141,$199.68 ,$201.85 ,$199.08 
01/26/2024,$198.06 ,194254,$197.24 ,$198.21 ,$197.07 
01/25/2024,$199.56 ,194737,$200.71 ,$200.73 ,$198.65 
01/24/2024,$200.72 ,314546,$200.87 ,$201.68 ,$200.36 
01/23/2024,$201.40 ,228993,$200.68 ,$202.00 ,$200.68 
01/22/2024,$201.42 ,369643,$201.24 ,$201.95 ,$200.40 
01/19/2024,$200.67 ,286660,$200.10 ,$200.70 ,$198.85 
01/18/2024,$200.08 ,413120,$199.43 ,$200.27 ,$198.29 
01/17/2024,$194.14 ,231949,$193.26 ,$194.39 ,$193.03 
01/16/2024,$195.60 ,273722,$195.29 ,$196.50 ,$194.50 
01/12/24,$195.68 ,208173,$195.06 ,$195.98 ,$194.80 
01/11/24,$194.95 ,361838,$195.31 ,$196.48 ,$193.78 
01/10/24,$192.72 ,458140,$190.00 ,$192.81 ,$189.57 
01/09/24,$185.99 ,254737,$186.53 ,$186.66 ,$185.29 
01/08/24,$187.89 ,359430,$187.50 ,$188.16 ,$186.43 
01/05/24,$187.07 ,336123,$186.00 ,$188.71 ,$185.64 
01/04/24,$182.97 ,273146,$183.09 ,$184.20 ,$182.73 
01/03/24,$181.55 ,273541,$180.84 ,$182.47 ,$180.07 
