date,open,high,low,close,volume
18/08/76,13.5939,13.5939,13.5939,13.5939,3900
19/08/76,13.5243,13.5243,13.5243,13.5243,100
20/08/76,13.4546,13.4546,13.4546,13.4546,1600
23/08/76,13.0529,13.0529,13.0529,13.0529,200
24/08/76,12.919,12.919,12.919,12.919,1500
25/08/76,12.7905,12.7905,12.7905,12.7905,1600
26/08/76,12.7905,12.7905,12.7905,12.7905,100
27/08/76,13.2565,13.2565,13.2565,13.2565,500
30/08/76,12.9887,12.9887,12.9887,12.9887,8000
31/08/76,12.9887,12.9887,12.9887,12.9887,100
01/09/76,13.0529,13.0529,13.0529,13.0529,100
02/09/76,12.8548,12.8548,12.8548,12.8548,13000
03/09/76,12.6512,12.6512,12.6512,12.6512,100
07/09/76,12.3191,12.3191,12.3191,12.3191,6700
08/09/76,12.3888,12.3888,12.3888,12.3888,6400
09/09/76,12.3191,12.3191,12.3191,12.3191,200
10/09/76,12.5173,12.5173,12.5173,12.5173,100
13/09/76,12.2495,12.2495,12.2495,12.2495,22900
14/09/76,12.1852,12.1852,12.1852,12.1852,4500
15/09/76,12.1852,12.1852,12.1852,12.1852,6400
16/09/76,11.9871,11.9871,11.9871,11.9871,13400
17/09/76,11.9871,11.9871,11.9871,11.9871,100
20/09/76,11.9871,11.9871,11.9871,11.9871,100
21/09/76,11.9871,11.9871,11.9871,11.9871,16100
22/09/76,11.9871,11.9871,11.9871,11.9871,200
23/09/76,11.9871,11.9871,11.9871,11.9871,100
24/09/76,11.9871,11.9871,11.9871,11.9871,500
27/09/76,11.9174,11.9174,11.9174,11.9174,100
28/09/76,11.9174,11.9174,11.9174,11.9174,8800
29/09/76,12.0513,12.0513,12.0513,12.0513,4500
30/09/76,11.9871,11.9871,11.9871,11.9871,100
01/10/76,11.9174,11.9174,11.9174,11.9174,5200
04/10/76,11.9174,11.9174,11.9174,11.9174,100
05/10/76,11.9871,11.9871,11.9871,11.9871,1600
06/10/76,12.0513,12.0513,12.0513,12.0513,2000
07/10/76,12.2495,12.2495,12.2495,12.2495,1600
08/10/76,12.3191,12.3191,12.3191,12.3191,6200
11/10/76,12.2495,12.2495,12.2495,12.2495,500
12/10/76,11.9871,11.9871,11.9871,11.9871,3400
13/10/76,12.0513,12.0513,12.0513,12.0513,1500
14/10/76,12.1156,12.1156,12.1156,12.1156,100
15/10/76,11.9871,11.9871,11.9871,11.9871,100
18/10/76,12.3888,12.3888,12.3888,12.3888,100
19/10/76,12.0513,12.0513,12.0513,12.0513,500
20/10/76,11.9871,11.9871,11.9871,11.9871,100
21/10/76,12.2495,12.2495,12.2495,12.2495,8800
22/10/76,12.3191,12.3191,12.3191,12.3191,3000
25/10/76,12.5869,12.5869,12.5869,12.5869,3000
26/10/76,12.5869,12.5869,12.5869,12.5869,500
27/10/76,12.919,12.919,12.919,12.919,1500
28/10/76,13.1922,13.1922,13.1922,13.1922,100
29/10/76,13.0529,13.0529,13.0529,13.0529,100
01/11/76,13.0529,13.0529,13.0529,13.0529,200
03/11/76,12.6512,12.6512,12.6512,12.6512,5000
04/11/76,12.5869,12.5869,12.5869,12.5869,7000
05/11/76,12.2495,12.2495,12.2495,12.2495,500
08/11/76,12.2495,12.2495,12.2495,12.2495,1600
09/11/76,12.2495,12.2495,12.2495,12.2495,100
10/11/76,12.2495,12.2495,12.2495,12.2495,200
11/11/76,12.8548,12.8548,12.8548,12.8548,1800
12/11/76,13.1922,13.1922,13.1922,13.1922,1800
15/11/76,12.7905,12.7905,12.7905,12.7905,100
16/11/76,12.5173,12.5173,12.5173,12.5173,100
17/11/76,12.3888,12.3888,12.3888,12.3888,100
18/11/76,12.2495,12.2495,12.2495,12.2495,3700
19/11/76,12.3191,12.3191,12.3191,12.3191,500
