date ,close
28/04/14,13.23
29/04/14,13.79
30/04/14,13.86
01/05/14,13.85
02/05/14,14.06
05/05/14,14.44
06/05/14,13.82
07/05/14,13.42
08/05/14,11.91
09/05/14,12.15
12/05/14,12.31
13/05/14,12.68
14/05/14,12.71
15/05/14,12.57
16/05/14,12.77
19/05/14,13.07
20/05/14,13.02
21/05/14,13.3
22/05/14,13.66
23/05/14,13.82
27/05/14,14.1
28/05/14,14.02
29/05/14,14.02
30/05/14,13.85
02/06/14,13.65
03/06/14,13.66
04/06/14,13.6
05/06/14,13.79
06/06/14,13.88
09/06/14,13.69
10/06/14,13.49
11/06/14,13.63
12/06/14,13.57
13/06/14,13.76
16/06/14,14.97
17/06/14,15.44
18/06/14,15.14
19/06/14,15.19
20/06/14,15.31
23/06/14,15.81
24/06/14,15.5
25/06/14,15.79
26/06/14,15.71
27/06/14,15.94
30/06/14,16
01/07/14,15.98
02/07/14,15.3
03/07/14,15.28
07/07/14,14.84
08/07/14,14.6
09/07/14,14.87
10/07/14,14.63
11/07/14,14.54
14/07/14,15.11
15/07/14,14.64
16/07/14,14.48
17/07/14,14.36
18/07/14,14.67
21/07/14,14.7
22/07/14,14.64
23/07/14,14.83
24/07/14,14.9
25/07/14,14.9
28/07/14,14.99
29/07/14,15
30/07/14,15.26
31/07/14,14.89
01/08/14,15.55
04/08/14,15.9
05/08/14,15.9
06/08/14,16.6
07/08/14,16.83
08/08/14,16.54
11/08/14,17.29
12/08/14,17.33
13/08/14,17.35
14/08/14,17.43
15/08/14,17.47
18/08/14,17.33
19/08/14,17.12
20/08/14,17.05
21/08/14,16.96
22/08/14,17.12
25/08/14,17.5
26/08/14,17.45
27/08/14,17.55
28/08/14,17.59
29/08/14,17.98
02/09/14,18.94
03/09/14,18.75
04/09/14,19.07
05/09/14,18.49
08/09/14,18.81
09/09/14,18.57
10/09/14,18.74
11/09/14,18.69
12/09/14,18.61
15/09/14,16.92
16/09/14,17.38
17/09/14,17.43
18/09/14,17.59
19/09/14,17.29
22/09/14,16.67
23/09/14,16.69
24/09/14,16.81
25/09/14,16.46
26/09/14,16.44
29/09/14,16.35
30/09/14,16.18
01/10/14,16.02
02/10/14,16.76
03/10/14,17.01
06/10/14,17.37
07/10/14,17.3
08/10/14,17.29
09/10/14,17.13
10/10/14,15.79
13/10/14,14.97
14/10/14,15.14
15/10/14,15.31
16/10/14,15.09
17/10/14,15.17
20/10/14,15.36
21/10/14,15.69
22/10/14,15.41
23/10/14,15.69
24/10/14,15.68
27/10/14,14.78
28/10/14,16.18
29/10/14,15.87
30/10/14,15.91
31/10/14,16.11
03/11/14,16.17
04/11/14,15.93
05/11/14,15.4
06/11/14,16.08
07/11/14,16.01
10/11/14,16.13
11/11/14,16.74
12/11/14,16.61
13/11/14,16.78
14/11/14,17.25
17/11/14,16.93
18/11/14,17.18
19/11/14,16.52
20/11/14,16.58
21/11/14,16.19
24/11/14,16.45
25/11/14,16.54
26/11/14,16.56
28/11/14,16.3
01/12/14,15.44
02/12/14,15.43
03/12/14,15.29
04/12/14,15.22
05/12/14,14.91
08/12/14,14.29
09/12/14,14.46
10/12/14,13.99
11/12/14,13.93
12/12/14,13.8
15/12/14,13.6
16/12/14,13.19
17/12/14,13.72
18/12/14,14.55
19/12/14,14.62
22/12/14,14.84
23/12/14,14.73
24/12/14,14.82
26/12/14,15.19
29/12/14,15.05
30/12/14,14.82
31/12/14,14.83
02/01/15,14.62
05/01/15,14.01
06/01/15,14.09
07/01/15,14.06
08/01/15,14.04
09/01/15,13.78
12/01/15,13.48
13/01/15,13.62
14/01/15,12.85
15/01/15,12.79
16/01/15,12.87
20/01/15,12.8
21/01/15,13.1
22/01/15,13.44
23/01/15,13.42
26/01/15,13.77
27/01/15,13.73
28/01/15,13.29
29/01/15,13.68
30/01/15,13.57
02/02/15,14.06
03/02/15,14.56
04/02/15,14.57
05/02/15,14.73
06/02/15,14.49
09/02/15,14.5
10/02/15,14.42
11/02/15,14.19
12/02/15,13.53
13/02/15,13.58
17/02/15,13.62
18/02/15,13.63
19/02/15,14.11
20/02/15,14.47
23/02/15,13.82
24/02/15,13.61
25/02/15,13.58
26/02/15,13.81
27/02/15,13.56
02/03/15,13.16
03/03/15,13.3
04/03/15,13.5
05/03/15,13.38
06/03/15,12.93
09/03/15,12.73
10/03/15,12.69
11/03/15,12.92
12/03/15,12.74
13/03/15,12.58
16/03/15,13.05
17/03/15,12.98
18/03/15,13.38
19/03/15,13.04
20/03/15,13.21
23/03/15,13.31
24/03/15,13.45
25/03/15,12.95
26/03/15,12.69
27/03/15,12.33
30/03/15,12.7
31/03/15,12.58
01/04/15,12.51
02/04/15,12.73
06/04/15,13.54
07/04/15,13.55
08/04/15,13.84
09/04/15,14.01
10/04/15,14.06
13/04/15,13.99
14/04/15,13.83
15/04/15,13.86
16/04/15,13.78
17/04/15,13.79
20/04/15,13.68
21/04/15,13.96
22/04/15,14.63
23/04/15,14.57
24/04/15,14.56
27/04/15,15.44
28/04/15,15.37
29/04/15,15.5
30/04/15,15.07
01/05/15,15.07
04/05/15,15.37
05/05/15,15.53
06/05/15,15.36
07/05/15,15.79
08/05/15,15.77
11/05/15,15.97
12/05/15,16.32
13/05/15,16.21
14/05/15,16.27
15/05/15,16.59
18/05/15,16.58
19/05/15,16.48
20/05/15,16.29
21/05/15,16.37
22/05/15,16.52
26/05/15,16.5
27/05/15,16.5
28/05/15,16.76
29/05/15,16.72
01/06/15,16.63
02/06/15,16.56
03/06/15,16.6
04/06/15,16.39
05/06/15,16.61
08/06/15,17.09
09/06/15,17.07
10/06/15,16.71
11/06/15,16.76
12/06/15,16.71
15/06/15,16.69
16/06/15,16.87
17/06/15,17.36
18/06/15,17.46
19/06/15,17.5
22/06/15,17.32
23/06/15,17.84
24/06/15,17.68
25/06/15,17.92
26/06/15,17.81
29/06/15,17.47
30/06/15,17.88
01/07/15,17.94
02/07/15,18.67
06/07/15,18.65
07/07/15,17.86
08/07/15,17
09/07/15,17.19
10/07/15,17.28
13/07/15,17.48
14/07/15,17.71
15/07/15,17.54
16/07/15,17.78
17/07/15,18.31
20/07/15,18.82
21/07/15,17.78
22/07/15,17.86
23/07/15,17.81
24/07/15,17.69
27/07/15,16.87
28/07/15,17.65
29/07/15,17.59
30/07/15,17.79
31/07/15,17.74
03/08/15,17.33
04/08/15,17.75
05/08/15,18.01
06/08/15,16.41
07/08/15,16.17
10/08/15,16.08
11/08/15,15.82
12/08/15,15.88
13/08/15,16.17
14/08/15,16.21
17/08/15,17
18/08/15,17.38
19/08/15,17.02
20/08/15,16.15
21/08/15,15.38
24/08/15,14.59
25/08/15,14.67
26/08/15,14.99
27/08/15,16.2
28/08/15,16.57
31/08/15,16.6
01/09/15,15.91
02/09/15,16.51
03/09/15,16.37
04/09/15,16.13
08/09/15,16.54
09/09/15,16.59
10/09/15,16.57
11/09/15,16.68
14/09/15,16.88
15/09/15,16.9
16/09/15,17.48
17/09/15,17.47
18/09/15,17.37
21/09/15,17.61
22/09/15,17.4
23/09/15,17.4
24/09/15,17.54
25/09/15,17.13
28/09/15,16.56
29/09/15,16.44
30/09/15,16.56
01/10/15,15.99
02/10/15,16.5
05/10/15,16.41
06/10/15,16.1
07/10/15,15.46
08/10/15,15.11
09/10/15,14.71
12/10/15,14.37
13/10/15,14.62
14/10/15,14.46
15/10/15,14.75
16/10/15,15.13
19/10/15,15.21
20/10/15,14.2
21/10/15,14.01
22/10/15,14.11
23/10/15,13.94
26/10/15,14.35
27/10/15,14.02
28/10/15,14.2
29/10/15,14.11
30/10/15,13.8
02/11/15,14.25
03/11/15,13.89
04/11/15,15.44
05/11/15,15.45
06/11/15,15.49
09/11/15,15.02
10/11/15,14.43
11/11/15,14.61
12/11/15,14.2
13/11/15,13.81
16/11/15,14.29
17/11/15,14.27
18/11/15,14.74
19/11/15,14.79
20/11/15,14.67
23/11/15,14.52
24/11/15,14.55
25/11/15,15.31
27/11/15,15.44
30/11/15,15.35
01/12/15,15.81
02/12/15,15.47
03/12/15,15.51
04/12/15,15.36
07/12/15,15.41
08/12/15,15.11
09/12/15,14.97
10/12/15,15.14
11/12/15,14.47
14/12/15,14.57
15/12/15,14.74
16/12/15,15.63
17/12/15,15.56
18/12/15,15.36
21/12/15,15.5
22/12/15,15.33
23/12/15,15.31
24/12/15,15.37
28/12/15,15.26
29/12/15,15.81
30/12/15,15.87
31/12/15,16
04/01/16,14.89
05/01/16,14.9
06/01/16,14.6
07/01/16,14.38
08/01/16,14.07
11/01/16,13.86
12/01/16,14
13/01/16,13.35
14/01/16,13.75
15/01/16,13.67
19/01/16,13.65
20/01/16,13.25
21/01/16,13.33
22/01/16,13.5
25/01/16,13.09
26/01/16,12.9
27/01/16,12.54
28/01/16,12.65
29/01/16,12.75
01/02/16,13.13
02/02/16,12.19
03/02/16,11.57
04/02/16,11.69
05/02/16,10.84
08/02/16,9.87
09/02/16,9.88
10/02/16,9.58
11/02/16,10.03
12/02/16,10.07
16/02/16,10.34
17/02/16,11.25
18/02/16,11.12
19/02/16,11.11
22/02/16,11.85
23/02/16,11.81
24/02/16,11.93
25/02/16,12.5
26/02/16,12.69
29/02/16,12.8
01/03/16,12.42
02/03/16,12.56
03/03/16,13.05
04/03/16,13.4
07/03/16,13.69
08/03/16,13.51
09/03/16,13.91
10/03/16,13.68
11/03/16,13.83
14/03/16,14.34
15/03/16,14.56
16/03/16,14.8
17/03/16,15.09
18/03/16,15.52
21/03/16,15.89
22/03/16,15.62
23/03/16,14.84
24/03/16,15.18
28/03/16,15.35
29/03/16,15.34
30/03/16,15.13
31/03/16,15.32
01/04/16,15.84
04/04/16,16.47
