date,close
25/04/24,170.18
24/04/24,162.13
23/04/24,144.68
22/04/24,142.05
19/04/24,147.05
18/04/24,149.93
17/04/24,155.45
16/04/24,157.11
15/04/24,161.48
12/04/24,171.05
11/04/24,174.60
10/04/24,171.76
09/04/24,176.88
08/04/24,172.98
05/04/24,164.90
04/04/24,171.11
03/04/24,168.38
02/04/24,166.63
01/04/24,175.22
28/03/24,175.79
27/03/24,179.83
26/03/24,177.67
25/03/24,172.63
22/03/24,170.83
21/03/24,172.82
20/03/24,175.66
19/03/24,171.32
18/03/24,173.80
15/03/24,163.57
14/03/24,162.50
13/03/24,169.48
12/03/24,177.54
11/03/24,177.77
08/03/24,175.34
07/03/24,178.65
06/03/24,176.54
05/03/24,180.74
04/03/24,188.14
01/03/24,202.64
29/02/24,201.88
28/02/24,202.04
27/02/24,199.73
26/02/24,199.40
23/02/24,191.97
22/02/24,197.41
21/02/24,194.77
20/02/24,193.76
16/02/24,199.95
15/02/24,200.45
14/02/24,188.71
13/02/24,184.02
12/02/24,188.13
09/02/24,193.57
08/02/24,189.56
07/02/24,187.58
06/02/24,185.10
05/02/24,181.06
02/02/24,187.91
01/02/24,188.86
31/01/24,187.29
30/01/24,191.59
29/01/24,190.93
26/01/24,183.25
25/01/24,182.63
24/01/24,207.83
23/01/24,209.14
22/01/24,208.80
19/01/24,212.19
18/01/24,211.88
17/01/24,215.55
16/01/24,219.91
12/01/24,218.89
11/01/24,227.22
10/01/24,233.94
09/01/24,234.96
08/01/24,240.45
05/01/24,237.49
04/01/24,237.93
03/01/24,238.45
02/01/24,248.42
29/12/23,248.48
28/12/23,253.18
27/12/23,261.44
26/12/23,256.61
22/12/23,252.54
21/12/23,254.50
20/12/23,247.14
19/12/23,257.22
18/12/23,252.08
15/12/23,253.50
14/12/23,251.05
13/12/23,239.29
12/12/23,237.01
11/12/23,239.74
08/12/23,243.84
07/12/23,242.64
06/12/23,239.37
05/12/23,238.72
04/12/23,235.58
01/12/23,238.83
30/11/23,240.08
29/11/23,244.14
28/11/23,246.72
27/11/23,236.08
24/11/23,235.45
22/11/23,234.21
21/11/23,241.20
20/11/23,235.60
17/11/23,234.30
16/11/23,233.59
15/11/23,242.84
14/11/23,237.41
13/11/23,223.71
10/11/23,214.65
09/11/23,209.98
08/11/23,222.11
